9/13 18:35:09.569  SPELL_AURA_APPLIED,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,32023,"Hoof Stomp",0x1,DEBUFF
9/13 18:35:10.967  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,14268,"Wing Clip",0x1,"Can't do that while stunned"
9/13 18:35:11.151  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,14268,"Wing Clip",0x1,"Can't do that while stunned"
9/13 18:35:11.319  SWING_DAMAGE,0xF13000471D00FDEC,"Clefthoof",0x10a28,0x0000000000002684,"Lev",0x511,216,1,0,0,0,nil,nil,1
9/13 18:35:12.501  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,14268,"Wing Clip",0x1,"Can't do that while stunned"
9/13 18:35:12.667  SPELL_CAST_FAILED,0x0000000000002684,"Lev",0x511,0x0000000000000000,nil,0x80000000,14268,"Wing Clip",0x1,"Can't do that while stunned"
9/13 18:35:12.667  SWING_DAMAGE,0xF14000FACB0004F6,"Penfold",0x1111,0xF13000471D00FDEC,"Clefthoof",0x10a28,152,1,0,0,0,nil,nil,nil
9/13 18:35:12.667  SPELL_AURA_REMOVED,0x0000000000000000,nil,0x80000000,0xF14000FACB0004F6,"Penfold",0x1111,32023,"Hoof Stomp",0x1,DEBUFF
9/13 18:35:12.667  SPELL_AURA_REMOVED,0x0000000000000000,nil,0x80000000,0x0000000000002684,"Lev",0x511,32023,"Hoof Stomp",0x1,DEBUFF
9/13 18:35:12.917  SPELL_CAST_SUCCESS,0x0000000000002684,"Lev",0x511,0xF13000471D00FDEC,"Clefthoof",0x10a28,14268,"Wing Clip",0x1
9/13 18:35:12.917  SPELL_MISSED,0x0000000000002684,"Lev",0x511,0xF13000471D00FDEC,"Clefthoof",0x10a28,14268,"Wing Clip",0x1,MISS
